status,strategy_id,policy_id,problem,instance,final_cost,gap,time,original_time,runtime_scale,runtime_scale_basis,source_tree,source_run,source_csv
ok,STAR,sil,tsp,wi29,32164,16.523566,0.020001,0.021339,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,dj38,6800,2.163462,0.011101,0.011844,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,eil51,502,17.840376,0.001020,0.001088,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,berlin52,8980,19.066561,0.000801,0.000855,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,st70,760,12.592593,0.001208,0.001289,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,eil76,627,16.542751,0.001292,0.001378,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,pr76,143096,32.301519,0.001260,0.001344,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,rat99,1437,18.662263,0.001619,0.001727,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,kroA100,26133,22.793910,0.001660,0.001771,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,kroB100,26023,17.533083,0.001652,0.001763,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,kroC100,23564,13.566919,0.001684,0.001797,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,kroD100,26390,23.931624,0.001869,0.001994,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,kroE100,24907,12.864782,0.042105,0.044921,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,rd100,9769,23.501896,0.001611,0.001719,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
ok,STAR,sil,tsp,eil101,737,17.170111,0.001652,0.001763,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234738,results/20260504_234738/results.csv
