status,strategy_id,policy_id,problem,instance,final_cost,gap,time,original_time,runtime_scale,runtime_scale_basis,source_tree,source_run,source_csv
ok,STAR,sil,tsp,portcgen-1000-1000,11505104.000000,1.033367,30.468891,30.468891,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10001,11446751.000000,0.615431,32.154063,32.154063,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10002,11238136.000000,3.529266,32.012968,32.012968,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10003,12041477.000000,1.304173,34.252937,34.252937,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10004,11617450.000000,1.021673,31.655408,31.655408,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10005,11525820.000000,1.148837,32.402734,32.402734,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10006,10419727.000000,2.488772,27.160869,27.160869,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10007,10735980.000000,0.668751,34.260023,34.260023,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10008,11683721.000000,0.672065,29.271349,29.271349,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-1000-10009,11081736.000000,1.602082,32.145350,32.145350,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-3162-3162,20018228.000000,4.271065,58.050604,58.050604,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-3162-31621,20347807.000000,6.993457,57.912172,57.912172,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
ok,STAR,sil,tsp,portcgen-3162-31622,20468752.000000,4.712616,56.434602,56.434602,1,server-measured,server,medium-main,results_server/results/medium-main/results.csv
