status,strategy_id,policy_id,problem,instance,final_cost,gap,time,original_time,runtime_scale,runtime_scale_basis,source_tree,source_run,source_csv
ok,STAR,sil,tsp,portcgen-1000-1000,11469489.000000,0.720610,21.656692,21.656692,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10001,11461012.000000,0.740784,22.088371,22.088371,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10002,11218373.000000,3.347203,23.849369,23.849369,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10003,11922640.000000,0.304405,23.231146,23.231146,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10004,11699160.000000,1.732198,22.985855,22.985855,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10005,11629630.000000,2.059858,20.956181,20.956181,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10006,10393670.000000,2.232474,19.836467,19.836467,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10007,10766895.000000,0.958633,23.832563,23.832563,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10008,11756932.000000,1.302883,21.813800,21.813800,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-1000-10009,11019163.000000,1.028386,23.754146,23.754146,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-3162-3162,20003634.000000,4.195047,25.394183,25.394183,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-3162-31621,20299746.000000,6.740741,25.450709,25.450709,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-3162-31622,20647985.000000,5.629524,25.550115,25.550115,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-3162-31623,20522907.000000,7.401933,25.200117,25.200117,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,portcgen-3162-31624,20194901.000000,7.054982,26.444516,26.444516,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,ar9152,889642.000000,6.228574,48.593402,48.593402,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,ca4663,1340379.000000,3.879661,31.148958,31.148958,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,eg7146,181682.000000,5.392549,40.780404,40.780404,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,ei8246,221247.000000,7.312377,38.499530,38.499530,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,gr9882,326732.000000,8.585273,47.190586,47.190586,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,ja9847,531407.000000,8.026240,45.282012,45.282012,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,kz9976,1151675.000000,8.456126,49.875741,49.875741,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,mu1979,87895.000000,1.155471,17.386890,17.386890,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
ok,STAR,sil,tsp,nu3496,99697.000000,3.708443,21.337848,21.337848,1,server-measured,server,medium-sampling,results_server/results/medium-sampling/results.csv
