status,strategy_id,policy_id,problem,instance,final_cost,gap,time,original_time,runtime_scale,runtime_scale_basis,source_tree,source_run,source_csv
ok,STAR,sil,tsp,dj38,6657,0.015024,22.111643,22.111643,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,lu980,14005,23.500882,30.181311,30.181311,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,qa194,11398,21.877673,26.046886,26.046886,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,uy734,95968,21.303436,37.490141,37.490141,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,wi29,27603,0.000000,15.815209,15.815209,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,zi929,110781,16.189627,45.584822,45.584822,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,a280,2848,10.430399,40.679151,40.679151,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,berlin52,7542,0.000000,29.765813,29.765813,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,bier127,126950,7.328249,32.776015,32.776015,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,ch130,6237,2.078560,45.102531,45.102531,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,ch150,6571,0.658701,69.702079,69.702079,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,d198,16610,5.259823,38.090814,38.090814,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,d493,40310,15.164848,36.835287,36.835287,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,d657,57162,16.867026,38.044701,38.044701,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,eil101,633,0.635930,49.292712,49.292712,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,eil51,426,0.000000,29.100133,29.100133,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,eil76,541,0.557621,37.941604,37.941604,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,fl417,13926,17.409999,42.556649,42.556649,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,gil262,2478,4.205214,69.451896,69.451896,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroA100,21282,0.000000,55.030065,55.030065,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroA150,26740,0.814357,51.329551,51.329551,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroA200,30942,5.359575,42.845986,42.845986,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroB100,22354,0.962016,54.304757,54.304757,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroB150,26270,0.535783,58.015540,58.015540,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroB200,30199,2.588579,41.414687,41.414687,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroC100,20852,0.496409,54.000210,54.000210,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroD100,21294,0.000000,53.637088,53.637088,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,kroE100,22121,0.240167,50.800094,50.800094,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,lin105,14973,4.131024,55.917454,55.917454,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,lin318,47096,12.055961,38.923791,38.923791,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,p654,42191,21.787951,37.015678,37.015678,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pcb442,58733,15.666233,38.403163,38.403163,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr107,47983,8.306435,35.877317,35.877317,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr124,59838,1.368796,69.481107,69.481107,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr136,98964,2.265118,36.777797,36.777797,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr144,59623,1.855237,63.710882,63.710882,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr152,77519,5.207513,38.142489,38.142489,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr226,81579,1.505556,74.777936,74.777936,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr264,53594,9.074997,55.213895,55.213895,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr299,54895,13.911311,38.710791,38.710791,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr439,121329,13.162092,42.391477,42.391477,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pr76,108159,0.000000,41.582644,41.582644,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rat195,2399,3.271632,38.105782,38.105782,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rat575,7895,16.565776,37.423403,37.423403,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rat783,10549,19.793323,41.284197,41.284197,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rat99,1212,0.082576,54.256321,54.256321,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rd100,7958,0.606827,51.340281,51.340281,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rd400,16815,10.038610,41.671055,41.671055,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,st70,679,0.592593,38.473950,38.473950,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,ts225,143888,13.617018,33.039542,33.039542,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,tsp225,4314,10.163432,46.034520,46.034520,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,u159,42080,0.000000,78.525823,78.525823,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,u574,41377,12.117599,42.031223,42.031223,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,u724,49788,18.797423,44.073136,44.073136,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,bcl380,1843,13.695250,45.005108,45.005108,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,dkg813,3699,15.629884,49.421156,49.421156,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,lim963,3303,18.429545,53.879552,53.879552,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pbd984,3374,20.629246,44.244397,44.244397,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pbk411,1495,11.317945,47.915847,47.915847,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pbl395,1450,13.192818,47.517961,47.517961,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pbm436,1617,12.058212,41.419273,41.419273,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pbn423,1602,17.362637,46.720528,46.720528,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pka379,1384,3.903904,57.936282,57.936282,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,pma343,1416,3.508772,55.245325,55.245325,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rbu737,3982,20.156910,40.442590,40.442590,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,rbx711,3641,16.886035,42.628534,42.628534,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,xqf131,571,1.241135,46.651582,46.651582,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,xqg237,1076,5.593719,44.682694,44.682694,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,tsp,xql662,3049,21.329089,44.789097,44.789097,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n101-k25,53512.000000,93.947302,46.865828,46.865828,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n106-k14,47811.000000,81.363326,34.074128,34.074128,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n110-k13,29813.000000,99.138334,42.953977,42.953977,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n115-k10,19244.000000,50.968855,78.205371,78.205371,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n120-k6,14028.000000,5.220522,93.041784,93.041784,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n125-k30,95321.000000,71.628945,50.577034,50.577034,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n129-k18,63448.000000,119.239806,54.237638,54.237638,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n134-k13,19268.000000,76.511543,50.972463,50.972463,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n139-k10,18691.000000,37.534952,68.125590,68.125590,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n143-k7,18185.000000,15.828025,97.788608,97.788608,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n148-k46,73334.000000,68.785675,53.670178,53.670178,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n153-k22,28607.000000,34.811499,79.432796,79.432796,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n157-k13,18793.000000,11.359327,65.239627,65.239627,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n162-k11,17016.000000,20.356486,84.995580,84.995580,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n167-k10,23144.000000,12.584521,94.429994,94.429994,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n172-k51,77626.000000,70.206328,60.577252,60.577252,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n176-k26,69159.000000,44.647787,75.097206,75.097206,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n181-k23,47209.000000,84.633736,45.599828,45.599828,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n186-k15,32080.000000,32.863947,70.074090,70.074090,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n190-k8,18058.000000,6.348645,104.568589,104.568589,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n195-k51,84447.000000,90.948559,71.369035,71.369035,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n200-k36,152632.000000,160.561986,68.097175,68.097175,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n204-k19,29086.000000,48.663430,69.905584,69.905584,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n209-k16,38036.000000,24.073591,77.790864,77.790864,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n214-k11,14171.000000,30.536109,92.721345,92.721345,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n219-k73,203632.000000,73.163825,74.627440,74.627440,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n223-k34,103047.000000,154.833445,73.524660,73.524660,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n228-k23,44554.000000,73.079015,102.708711,102.708711,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n233-k16,31919.000000,65.985439,133.130412,133.130412,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n237-k14,29292.000000,8.320391,121.995170,121.995170,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
ok,STAR,sil,cvrp,X-n242-k48,204167.000000,146.724511,75.306560,75.306560,1,server-measured,server,small-recon,results_server/results/small-recon/results.csv
