status,strategy_id,policy_id,problem,instance,final_cost,gap,time,original_time,runtime_scale,runtime_scale_basis,source_tree,source_run,source_csv
ok,STAR,sil,tsp,dj38,6656.000000,0.000000,22.378456,22.378456,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,lu980,11529.000000,1.666667,28.076959,28.076959,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,qa194,9359.000000,0.074850,26.468357,26.468357,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,uy734,79625.000000,0.645903,40.437264,40.437264,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,wi29,27603.000000,0.000000,16.707003,16.707003,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,zi929,96331.000000,1.034139,44.720150,44.720150,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,a280,2579.000000,0.000000,42.183176,42.183176,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,berlin52,7542.000000,0.000000,30.868523,30.868523,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,bier127,118728.000000,0.377065,32.819491,32.819491,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,ch130,6110.000000,0.000000,41.728216,41.728216,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,ch150,6549.000000,0.321691,52.191627,52.191627,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,d198,15781.000000,0.006337,32.214495,32.214495,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,d493,35289.000000,0.819953,40.145172,40.145172,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,d657,49344.000000,0.883219,39.781584,39.781584,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,eil101,629.000000,0.000000,45.703889,45.703889,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,eil51,426.000000,0.000000,30.014558,30.014558,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,eil76,538.000000,0.000000,43.559852,43.559852,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,fl417,11881.000000,0.168620,44.946106,44.946106,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,gil262,2385.000000,0.294365,61.309212,61.309212,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,kroA100,21282.000000,0.000000,57.485960,57.485960,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,kroA150,26524.000000,0.000000,69.969652,69.969652,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,kroA200,29368.000000,0.000000,45.039135,45.039135,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,kroB100,22199.000000,0.261957,56.645276,56.645276,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,kroB150,26132.000000,0.007654,54.518863,54.518863,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
ok,STAR,sil,tsp,kroB200,29452.000000,0.050956,43.063669,43.063669,1,server-measured,server,small-sampling,results_server/results/small-sampling/results.csv
