[2025-12-17 16:30:55] test_synthetic.py(142) : DEBUG_MODE: False
[2025-12-17 16:30:55] test_synthetic.py(143) : USE_CUDA: True, CUDA_DEVICE_NUM: 0
[2025-12-17 16:30:55] test_synthetic.py(144) : env_params{'mode': 'test', 'data_path': '/public/home/bayp/exp_survey_202509/0_data_survey/survey_synthetic_tsp/test_tsp1000_n128_lkh.txt', 'sub_path': False, 'RRC_budget': 1000}
[2025-12-17 16:30:55] test_synthetic.py(144) : model_params{'mode': 'test', 'embedding_dim': 128, 'sqrt_embedding_dim': 11.313708498984761, 'decoder_layer_num': 6, 'qkv_dim': 16, 'head_num': 8, 'ff_hidden_dim': 512}
[2025-12-17 16:30:55] test_synthetic.py(144) : tester_params{'use_cuda': True, 'cuda_device_num': 0, 'test_episodes': 128, 'test_batch_size': 128}
[2025-12-17 16:30:55] test_synthetic.py(144) : logger_params{'log_file': {'desc': 'test_tsp1000_RRC1000', 'filename': 'run_log.txt', 'filepath': './result_survey_tsp_synthetic/tsp1000/20251217_163055test_tsp1000_RRC1000'}}
[2025-12-17 16:32:34] TSPTester.py(192) : greedy, name:TSP1000, gap:3.116160 %,  Elapsed[1.63m], stu_l:23.838638 , opt_l:23.118198
[2025-12-17 16:32:41] TSPTester.py(256) : RRC step0, name:TSP1000, gap:2.916338 %, Elapsed[1.75m], stu_l:23.792439 , opt_l:23.118198
[2025-12-17 16:32:47] TSPTester.py(256) : RRC step1, name:TSP1000, gap:2.780082 %, Elapsed[1.86m], stu_l:23.760963 , opt_l:23.118198
[2025-12-17 16:33:16] TSPTester.py(256) : RRC step2, name:TSP1000, gap:2.577688 %, Elapsed[2.34m], stu_l:23.714167 , opt_l:23.118198
[2025-12-17 16:33:16] TSPTester.py(256) : RRC step3, name:TSP1000, gap:2.562561 %, Elapsed[2.35m], stu_l:23.710669 , opt_l:23.118198
[2025-12-17 16:33:16] TSPTester.py(256) : RRC step4, name:TSP1000, gap:2.560915 %, Elapsed[2.35m], stu_l:23.710289 , opt_l:23.118198
[2025-12-17 16:33:43] TSPTester.py(256) : RRC step5, name:TSP1000, gap:2.277644 %, Elapsed[2.79m], stu_l:23.644817 , opt_l:23.118198
[2025-12-17 16:33:54] TSPTester.py(256) : RRC step6, name:TSP1000, gap:2.180675 %, Elapsed[2.97m], stu_l:23.622370 , opt_l:23.118198
[2025-12-17 16:35:24] TSPTester.py(256) : RRC step7, name:TSP1000, gap:2.130326 %, Elapsed[4.47m], stu_l:23.610758 , opt_l:23.118198
[2025-12-17 16:35:27] TSPTester.py(256) : RRC step8, name:TSP1000, gap:2.073469 %, Elapsed[4.53m], stu_l:23.597610 , opt_l:23.118198
[2025-12-17 16:35:32] TSPTester.py(256) : RRC step9, name:TSP1000, gap:2.030522 %, Elapsed[4.61m], stu_l:23.587685 , opt_l:23.118198
[2025-12-17 16:36:19] TSPTester.py(256) : RRC step10, name:TSP1000, gap:1.995373 %, Elapsed[5.40m], stu_l:23.579563 , opt_l:23.118198
[2025-12-17 16:36:20] TSPTester.py(256) : RRC step11, name:TSP1000, gap:1.987804 %, Elapsed[5.40m], stu_l:23.577812 , opt_l:23.118198
[2025-12-17 16:36:20] TSPTester.py(256) : RRC step12, name:TSP1000, gap:1.954925 %, Elapsed[5.41m], stu_l:23.570211 , opt_l:23.118198
[2025-12-17 16:36:39] TSPTester.py(256) : RRC step13, name:TSP1000, gap:1.930458 %, Elapsed[5.72m], stu_l:23.564552 , opt_l:23.118198
[2025-12-17 16:37:18] TSPTester.py(256) : RRC step14, name:TSP1000, gap:1.889447 %, Elapsed[6.37m], stu_l:23.555084 , opt_l:23.118198
[2025-12-17 16:37:23] TSPTester.py(256) : RRC step15, name:TSP1000, gap:1.868133 %, Elapsed[6.46m], stu_l:23.550161 , opt_l:23.118198
[2025-12-17 16:38:48] TSPTester.py(256) : RRC step16, name:TSP1000, gap:1.856838 %, Elapsed[7.87m], stu_l:23.547556 , opt_l:23.118198
[2025-12-17 16:39:00] TSPTester.py(256) : RRC step17, name:TSP1000, gap:1.836594 %, Elapsed[8.08m], stu_l:23.542881 , opt_l:23.118198
[2025-12-17 16:40:16] TSPTester.py(256) : RRC step18, name:TSP1000, gap:1.821503 %, Elapsed[9.33m], stu_l:23.539391 , opt_l:23.118198
[2025-12-17 16:40:25] TSPTester.py(256) : RRC step19, name:TSP1000, gap:1.794126 %, Elapsed[9.50m], stu_l:23.533066 , opt_l:23.118198
[2025-12-17 16:40:26] TSPTester.py(256) : RRC step20, name:TSP1000, gap:1.781711 %, Elapsed[9.50m], stu_l:23.530197 , opt_l:23.118198
[2025-12-17 16:41:23] TSPTester.py(256) : RRC step21, name:TSP1000, gap:1.768631 %, Elapsed[10.46m], stu_l:23.527184 , opt_l:23.118198
[2025-12-17 16:41:58] TSPTester.py(256) : RRC step22, name:TSP1000, gap:1.754483 %, Elapsed[11.03m], stu_l:23.523914 , opt_l:23.118198
[2025-12-17 16:41:59] TSPTester.py(256) : RRC step23, name:TSP1000, gap:1.727765 %, Elapsed[11.06m], stu_l:23.517727 , opt_l:23.118198
[2025-12-17 16:42:00] TSPTester.py(256) : RRC step24, name:TSP1000, gap:1.701444 %, Elapsed[11.08m], stu_l:23.511642 , opt_l:23.118198
[2025-12-17 16:42:09] TSPTester.py(256) : RRC step25, name:TSP1000, gap:1.680402 %, Elapsed[11.22m], stu_l:23.506781 , opt_l:23.118198
